89,Vyndamax,,vyndamax.com,,https://www.vyndamax.com/
90,Isentress,,isentress.com,,https://www.isentress.com/
91,Toviaz,,http://www.pfizermedical.com/patient/toviaz,corrected,https://www.pfizermedical.com/patient/toviaz
92,Nubeqa,,nubeqa.com,,https://www.nubeqa-us.com/
93,Viberzi,,viberzi.com,,https://www.viberzi.com/
94,Xeljanz,,xeljanz.com,,https://www.xeljanz.com/
95,Nucynta ER,,http://www.nucynta.com,corrected,https://www.nucynta.com/patient/home/
96,Fycompa,,fycompa.com,,https://www.fycompa.com/
97,Fetzima,,fetzima.com,,https://www.fetzima.com/
98,Horizant,,horizant.com,,https://www.horizant.com/
99,Lynparza,,lynparza.com,,https://www.lynparza.com/
100,Xofluza,,xofluza.com,,https://www.xofluza.com/
101,Promacta,,promacta.com,,https://us.promacta.com/
102,Norvasc,,norvasc.com,,https://www.norvasc.com/
103,Hysingla ER,,hysinglaer.com,,https://hysinglaer.com/
104,Sprycel,,sprycel.com,,https://www.sprycel.com/
105,Symproic,,symproic.com,,https://www.symproic.com/
106,Xopenex HFA,,xopenexhfa.com,,https://xopenexhfa.com/
107,Ibsrela,,ibsrela.com,,https://www.ibsrela.com/
108,Adempas,,adempas.com,,https://www.adempas-us.com/
109,Rayaldee,,rayaldee.com,,https://rayaldee.com/
110,Inlyta,,inlyta.com,,https://www.inlyta.com/
111,Invokamet,,invokamet.com,,https://www.invokana.com/about-invokamet-invokamet-xr/
112,Kisqali,,kisqali.com,,https://us.kisqali.com/
113,Osphena,,osphena.com,,https://osphena.com/
114,Benicar,,benicar.com,,https://benicar.com/
115,Gocovri,,gocovri.com,,https://www.gocovri.com/
116,Pifeltro,,pifeltro.com,,https://www.pifeltro.com/
117,Gralise,,gralise.com,,https://www.gralise.com/
118,Epidiolex,,epidiolex.com,,https://www.epidiolex.com/
119,Fanapt,,fanapt.com,,https://fanapt.com/
120,Talicia,,talicia.com,,https://www.talicia.com/
121,Uptravi,,uptravi.com,,https://www.uptravi.com/
122,Nuzyra,,nuzyra.com,,https://www.nuzyrahcp.com/
123,Celebrex,,celebrex.com,,https://www.celebrex.com/
124,Cresemba,,cresemba.com,,https://www.cresemba.com/
125,Nourianz,,nourianz.com,,https://www.nourianz.com/
126,Trokendi XR,,trokendixr.com,,https://www.trokendixr.com/
127,Xanax,,xanax.com,,https://www.xanax.com/
128,Ninlaro,,ninlaro.com,,https://www.ninlaro.com/
129,Ongentys,,ongentys.com,,https://ongentys.com/
130,Topamax,,topamax.com,,https://www.topamax.com/
131,Wellbutrin XL,,wellbutrinxl.com,,https://www.wellbutrinxl.com/
132,Lonsurf,,lonsurf.com,,https://www.lonsurf.com/
133,Tecfidera,,tecfidera.com,redirect,https://www.tecfidera.com/
134,Austedo XR,,austedoxr.com,,https://www.austedo.com/tardive-dyskinesia/treatment
135,Tyvaso Dpi,,tyvasodpi.com,,https://www.tyvaso.com/
136,Effexor XR,,effexorxr.com,,https://www.effexorxr.com/
137,Tasigna,,tasigna.com,,https://www.tasigna-hcp.com/
